# Target: WASP-96b
# Instrument: NIRISS/SOSS
# Pipeline: exoTEDRF
# Light Curve Fitting: exoUPRF
# 1D Extraction: box
# Spectral Resolution: 50
# Author: michael
# Date: 2025-03-18T21:06:40
#
# Fit Metadata
# $P$: 3.425256402
# $T_0$: 59751.3247
# $i$: 85.34301656
# $e$: 0.0
# $\Omega$: 90.0
# $a/R_*$: 8.989022994
# Linear Model: t
#
# Column wave: Central wavelength of bin (micron)
# Column wave_err: Wavelength bin halfwidth (micron)
# Column dppm: (Rp/R*)^2 (ppm)
# Column dppm_err: Error in (Rp/R*)^2 (ppm)
# Column order: SOSS diffraction order
#
wave,wave_err,dppm,dppm_err,order
0.6062930882579148,0.006062930882579143,14580.810467875579,487.68346231894446,2
0.6185414334752464,0.006185414334752393,14368.903997534913,451.0747715289944,2
0.6310372200100999,0.006310372200101,14120.465204829865,130.54074093065728,2
0.6437854466769706,0.006437854466769699,14003.730919288926,110.69275106571386,2
0.6567912132765052,0.006567912132765086,14265.006884939745,98.66511572195238,2
0.6700597226356266,0.006700597226356297,14048.14074167051,88.61755486911163,2
0.6835962826888715,0.006835962826888697,14374.29711408951,83.45060160672678,2
0.697406308601778,0.006974063086017779,14273.995751630706,74.55571723338599,2
0.7114953249371675,0.007114953249371725,14164.442312149544,82.89062172671044,2
0.7258689678651911,0.007258689678651953,14199.656584228116,79.42366360544871,2
0.7405329874180233,0.0074053298741803,14148.489541937979,85.84081044273398,2
0.7554932497901046,0.007554932497901068,14103.810289164554,81.01493270749188,2
0.7707557396848542,0.0077075573968485855,14326.093781452513,86.33933858181314,2
0.7863265627087908,0.007863265627087945,14058.805091639728,88.68084364544934,2
0.8022119478140188,0.008022119478140244,13992.852738379872,102.78426946061514,2
0.8184182497900596,0.008184182497900538,14190.623330637998,102.92284627218783,2
0.8349519518060204,0.008349519518060289,14170.296814992953,119.42394595805885,2
0.8466496299958798,0.003348158671799051,13860.552876224225,181.40272894917078,2
0.8597340246643683,0.008597340246643714,14025.17348369472,86.68701347479963,1
0.8771023887990019,0.008771023887990004,14047.87978460348,78.83740373330721,1
0.8948216289767594,0.008948216289767608,14191.373968351525,79.69967618440786,1
0.9128988336025525,0.00912898833602549,14124.74041356404,78.42554044882634,1
0.931341234281392,0.00931341234281391,14198.354360502906,67.52342490602518,1
0.9501562087113191,0.00950156208711328,14148.79423951688,77.15905806999872,1
0.9693512836347802,0.009693512836347784,14199.81843201076,72.25601012600565,1
0.9889341378496244,0.009889341378496175,14142.0069156103,68.02252989990785,1
1.0089126052809299,0.010089126052809316,14162.382171547408,70.00712006284549,1
1.029294678114888,0.010292946781148782,14176.618557721999,65.34483620350937,1
1.050088509995997,0.010500885099959945,14057.970688074953,59.880212483209846,1
1.0713024192888452,0.010713024192888554,14102.080534344403,65.15393706229936,1
1.0929448924057916,0.010929448924057894,14197.397612303963,54.95554451834944,1
1.1150245872018683,0.011150245872018738,14219.00445036951,61.3946926462175,1
1.1375503364382697,0.011375503364382755,14188.896199793382,68.09390818779751,1
1.1605311513158103,0.011605311513158245,14146.354259844633,54.003778791170824,1
1.1839762250797663,0.011839762250797747,14023.714125320088,64.96269327926039,1
1.2078949366975391,0.012078949366975511,14056.696316308964,65.87806982498098,1
1.2322968546106208,0.01232296854610615,14210.3042964945,61.01930851051124,1
1.2571917405623505,0.012571917405623578,14022.483781431294,57.917560619406146,1
1.282589553503004,0.012825895535029996,14061.765492857397,60.078410883743565,1
1.3085004535737719,0.013085004535737799,14045.6852363643,60.56993652067515,1
1.3349348061712218,0.013349348061712174,14234.83880399791,59.09595880481538,1
1.361903186093873,0.013619031860938602,14394.539910140053,61.8016387518832,1
1.389416381772537,0.013894163817725236,14425.417355324176,58.298914613232405,1
1.4174853995861236,0.01417485399586127,14422.403044585335,65.39266442346161,1
1.4461214682646313,0.014461214682646162,14284.905769481102,62.898538905195245,1
1.4753360433810883,0.014753360433810814,14153.250107613916,69.54677996077497,1
1.5051408119342415,0.015051408119342469,14297.964741601127,68.77052265957111,1
1.535547697023822,0.015355476970238424,14062.091926272462,69.78168175651548,1
1.566568862620263,0.015665688626202545,14005.568381310932,67.48237739092299,1
1.5982167184307732,0.015982167184307672,14072.519570176142,67.5440696130767,1
1.630503924863718,0.016305039248637243,13961.31793277532,65.24432578658944,1
1.6634433980932881,0.016634433980932783,13866.978322813551,79.07332712450872,1
1.697048315226486,0.016970483152265015,13918.067557029055,79.75327872069768,1
1.7313321195744957,0.017313321195745024,14153.80841130569,67.70879660759725,1
1.7663085260305462,0.017663085260305467,14033.782247103178,82.2714513720145,1
1.801991526556416,0.018019915265564235,14125.37234216704,82.18429945367618,1
1.838395395779778,0.018383953957797683,14431.806825531328,84.30626100033867,1
1.875534696704622,0.018755346967046282,14254.09025063705,89.92373232983957,1
1.9134242865370386,0.019134242865370465,14301.106791323562,97.95348110193738,1
1.952079322628696,0.01952079322628686,14228.726585129572,97.02884320063505,1
1.9915152685403867,0.01991515268540378,14267.61080913585,115.97316432888742,1
2.031747900228071,0.02031747900228087,14184.012068436765,101.86213670947825,1
2.0727933123538906,0.020727933123538822,13954.17091787628,112.05702672188386,1
2.1146679247246762,0.02114667924724678,13957.335344471621,110.99130140735693,1
2.157388488860528,0.02157388488860512,13992.09016702917,119.60992232528355,1
2.2009720946960947,0.022009720946960964,13632.910415329783,122.92950741005573,1
2.2454361774172282,0.02245436177417215,13825.63016535133,122.2407905224418,1
2.2907985244357576,0.02290798524435722,14104.364774095293,134.40093693390006,1
2.3370772825051667,0.023370772825051844,14331.58076050761,137.95473658868852,1
2.3842909649800186,0.02384290964980007,13766.047980563375,174.91570023031935,1
2.4324584592220395,0.024324584592220422,14261.299317970259,149.06736660834017,1
2.481599034155818,0.024815990341558347,14081.621867571812,147.93362384468017,1
2.5317323479771474,0.025317323479771225,14555.859790727161,168.564278317445,1
2.58287845601709,0.025828784560171236,14518.811459780494,176.9542851250052,1
2.6350578187649103,0.026350578187649187,14688.90902311531,207.32728534051705,1
2.6882913100530903,0.026882913100530814,14749.763323332936,182.3271637018814,1
2.7426002254076987,0.027426002254077098,14685.680701785006,194.14451777713913,1
2.79800629056745,0.027980062905674785,14899.557798472404,242.6532083663717,1
2.827370210447042,0.0013838569739172968,14047.199552778471,1080.5208718825295,1
