# Target: WASP-96b
# Instrument: NIRSpec/G395H
# Pipeline: exoTEDRF
# Light Curve Fitting: exoUPRF
# 1D Extraction: box
# Spectral Resolution: 50
# Author: michael
# Date: 2025-05-08T18:34:01
#
# Fit Metadata
# $P$: 3.425256402
# $T_0$: 60532.2831633766
# $i$: 85.34301656
# $e$: 0.0
# $\Omega$: 90.0
# $a/R_*$: 8.989022994
# $\phi$: 90
# Linear Model: t
#
# Column wave: Central wavelength of bin (micron)
# Column wave_err: Wavelength bin halfwidth (micron)
# Column rprs_morning: Morning hemisphere Rp/R*
# Column rprs_err_morning: Error in morning hemisphere Rp/R*
# Column rprs_evening: Evening hemisphere Rp/R*
# Column rprs_err_evening: Error in evening hemisphere Rp/R*
#
wave,wave_err,rprs_morning,rprs_err_morning,rprs_evening,rprs_err_evening
2.8001947402954106,0.0308917670856421,0.05857694891670158,0.004383246895574788,0.0620033080297472,0.004383246895574788
2.8619782744666957,0.0312325652665479,0.06017968203417903,0.00236628301880229,0.059248151020227166,0.00236628301880229
2.925125001361602,0.0319216810039764,0.0607113255173425,0.0021267238942394295,0.059442108010674385,0.0021267238942394295
2.989664998482601,0.032626001400245,0.059870466466685326,0.0022204032614731167,0.06039012821138513,0.0022204032614731167
3.055629006962582,0.0333458619311495,0.05911220257414506,0.0019683352547572586,0.06058953587532894,0.0019683352547572586
3.123048446207199,0.0340816054744275,0.060775735123746455,0.0019617489926167103,0.05868785171073965,0.0019617489926167103
3.1919554288602927,0.0348335824730772,0.05889451782210254,0.0020591030932159693,0.059826842083358464,0.0020591030932159693
3.262382776099507,0.0356021511022741,0.05918547237082282,0.001976964552594107,0.05972267747737912,0.001976964552594107
3.3343640332693893,0.0363876774399769,0.05897336863120857,0.0021323578345727595,0.059483057160787126,0.0021323578345727595
3.4079334858594152,0.0371905356412924,0.059759936897348064,0.002055592593352515,0.05939958083012065,0.002055592593352515
3.4831261758345597,0.0380111081166907,0.05810753749803931,0.001933442619000303,0.060904848208389234,0.001933442619000303
3.559977918326178,0.0388497857141523,0.0597408386129921,0.0019832593158746054,0.058634231443267064,0.0019832593158746054
3.638525318691169,0.039706967905333,0.059176384102169674,0.0019408379435449374,0.05880594098906014,0.0019408379435449374
3.7188057899475098,0.0401402356281703,0.059089999903619635,0.003155020390532698,0.05835655526189221,0.003155020390532698
3.824493646621704,0.0417775667365538,0.06020443566137534,0.003199754293409074,0.05743489716851154,0.003199754293409074
3.9080487800948114,0.0422339317468525,0.058516935719465916,0.0021769348356077273,0.05865836300269278,0.0021769348356077273
3.993429373609113,0.0431566321433662,0.05993261420898309,0.0023352242704123283,0.05870686867436637,0.0023352242704123283
4.080675308668276,0.0440994911182199,0.05985471720898276,0.002304603511108644,0.05809368276910805,0.002304603511108644
4.169827338081993,0.0450629490833636,0.06006814275710394,0.0024876672218772516,0.058403185318443795,0.0024876672218772516
4.260927105001731,0.0460474560725905,0.0617550248508306,0.002635294820349701,0.05884401556575703,0.002635294820349701
4.354017162372355,0.0470534719517492,0.060529880139394865,0.002825416020975219,0.06177706591757438,0.002825416020975219
4.449140992808728,0.0480814666335476,0.058280574653919386,0.002749214628797375,0.062050660296976465,0.002749214628797375
4.546343028906548,0.0491319202970541,0.05927494251121145,0.0034403268113929186,0.060299266371102014,0.0034403268113929186
4.645668673996943,0.0502053236119834,0.05741785468739609,0.0032481974302424055,0.06179301617295211,0.0032481974302424055
4.747164323354482,0.0513021779678966,0.060556107943002334,0.003418626156199589,0.05831247852866595,0.003418626156199589
4.850877385868531,0.0524229957083983,0.05880137189123815,0.0032417334343656234,0.058710848214345544,0.0032417334343656234
4.956856306188075,0.0535683003704532,0.05951726954631429,0.003929279085540763,0.05910678892630944,0.003929279085540763
5.065150587350344,0.054738626928934,0.05640632227408441,0.004091654429397282,0.06208290101307278,0.004091654429397282
5.1758108139038095,0.0553301132767329,0.059300211689507304,0.007891084614195132,0.05781164645637825,0.007891084614195132
